buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
4050.0,81.0,50.0,0.0,0.6387667754359617,4050,4050.0,78.27583527565002
4100.0,82.0,50.0,0.0,70.30781325694018,4100,4100.0,78.9869954586029
4150.0,83.0,50.0,0.0,91.66126514847218,4150,4150.0,79.53248286247253
4200.0,84.0,50.0,0.0,85.28225281732296,4200,4200.0,80.11877298355103
4250.0,85.0,50.0,0.0,81.49549125939686,4250,4250.0,80.7323043346405
4300.0,86.0,50.0,0.0,81.95950704362963,4300,4300.0,81.34236264228821
4350.0,87.0,50.0,0.0,85.76715965235941,4350,4350.0,81.92533826828003
4400.0,88.0,50.0,0.0,92.0530647234943,4400,4400.0,82.46850371360779
4450.0,89.0,50.0,0.0,92.48895902114346,4450,4450.0,83.00910973548889
4500.0,90.0,50.0,0.0,79.936543294298,4500,4500.0,83.63460683822632
4550.0,91.0,50.0,0.0,78.55572819665302,4550,4550.0,84.27109885215759
4600.0,92.0,50.0,0.0,86.49055271582097,4600,4600.0,84.84919857978821
4650.0,93.0,50.0,0.0,87.54632167205112,4650,4650.0,85.42032551765442
4700.0,94.0,50.0,0.0,95.9540698368716,4700,4700.0,85.94140982627869
4750.0,95.0,50.0,0.0,81.53665034237468,4750,4750.0,86.55463171005249
4800.0,96.0,50.0,0.0,71.80183172130445,4800,4800.0,87.25099492073059
4850.0,97.0,50.0,0.0,88.55120544628558,4850,4850.0,87.81564164161682
4900.0,98.0,50.0,0.0,84.1514262773377,4900,4900.0,88.40980958938599
