buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
4050.0,81.0,50.0,0.0,0.7186366633721432,4050,4050.0,69.57620429992676
4100.0,82.0,50.0,0.0,76.68630917664181,4100,4100.0,70.22821259498596
4150.0,83.0,50.0,0.0,81.86573197376583,4150,4150.0,70.83897161483765
4200.0,84.0,50.0,0.0,79.80999215658217,4200,4200.0,71.4654598236084
4250.0,85.0,50.0,0.0,87.8225317773498,4250,4250.0,72.03479099273682
4300.0,86.0,50.0,0.0,85.75811095567359,4300,4300.0,72.61782765388489
4350.0,87.0,50.0,0.0,79.24687296063676,4350,4350.0,73.24876999855042
4400.0,88.0,50.0,0.0,71.12734263156163,4400,4400.0,73.95173645019531
4450.0,89.0,50.0,0.0,75.20493383198564,4450,4450.0,74.61658811569214
4500.0,90.0,50.0,0.0,73.02785965877533,4500,4500.0,75.30125951766968
4550.0,91.0,50.0,0.0,77.30763332664881,4550,4550.0,75.94802784919739
4600.0,92.0,50.0,0.0,73.54015660778971,4600,4600.0,76.62792992591858
4650.0,93.0,50.0,0.0,71.9995578030088,4650,4650.0,77.32238030433655
4700.0,94.0,50.0,0.0,69.66701447819467,4700,4700.0,78.04008102416992
4750.0,95.0,50.0,0.0,73.31989174475059,4750,4750.0,78.72202563285828
4800.0,96.0,50.0,0.0,69.301336523321,4800,4800.0,79.44351363182068
4850.0,97.0,50.0,0.0,73.35569406351647,4850,4850.0,80.1251266002655
4900.0,98.0,50.0,0.0,74.78095972996653,4900,4900.0,80.79374647140503
4950.0,99.0,50.0,0.0,65.8311705107777,4950,4950.0,81.55326652526855
5000.0,100.0,50.0,0.0,68.18423299435513,5000,5000.0,82.28657531738281
5050.0,101.0,50.0,0.0,70.34568861156664,5050,5050.0,82.99735307693481
5100.0,102.0,50.0,0.0,74.95026907948298,5100,5100.0,83.66446375846863
5150.0,103.0,50.0,0.0,76.65740898460602,5150,5150.0,84.31671810150146
5200.0,104.0,50.0,0.0,73.71479468560827,5200,5200.0,84.99501013755798
5250.0,105.0,50.0,0.0,76.38592896149984,5250,5250.0,85.64958238601685
5300.0,106.0,50.0,0.0,79.78005582297035,5300,5300.0,86.27630758285522
5350.0,107.0,50.0,0.0,75.85786055825457,5350,5350.0,86.93543577194214
5400.0,108.0,50.0,0.0,76.8262683566488,5400,5400.0,87.58625674247742
5450.0,109.0,50.0,0.0,77.87401884734011,5450,5450.0,88.2283205986023
5500.0,110.0,50.0,0.0,48.62012996422031,5500,5500.0,89.25670266151428
5550.0,111.0,50.0,0.0,76.7191882476332,5550,5550.0,89.90843176841736
5600.0,112.0,50.0,0.0,76.76119773927755,5600,5600.0,90.55980348587036
5650.0,113.0,50.0,0.0,83.69969751357677,5650,5650.0,91.15717840194702
5700.0,114.0,50.0,0.0,75.84872440878812,5700,5700.0,91.81638813018799
5750.0,115.0,50.0,0.0,52.34281384256013,5750,5750.0,92.77163100242615
5800.0,116.0,50.0,0.0,62.794716283972036,5800,5800.0,93.5678780078888
5850.0,117.0,50.0,0.0,69.39400296615526,5850,5850.0,94.28840470314026
5900.0,118.0,50.0,0.0,65.82573609151531,5900,5900.0,95.04798746109009
5950.0,119.0,50.0,0.0,63.55843876389766,5950,5950.0,95.83466601371765
6000.0,120.0,50.0,0.0,65.85450945086595,6000,6000.0,96.59391736984253
6050.0,121.0,50.0,0.0,62.877575410143756,6050,6050.0,97.38911437988281
6100.0,122.0,50.0,0.0,63.603892627912046,6100,6100.0,98.17523169517517
6150.0,123.0,50.0,0.0,66.5215162634429,6150,6150.0,98.92687010765076
6200.0,124.0,50.0,0.0,68.47389381209996,6200,6200.0,99.65707612037659
6250.0,125.0,50.0,0.0,71.00950110722097,6250,6250.0,100.36120820045471
6300.0,126.0,50.0,0.0,67.46937717120151,6300,6300.0,101.10228729248047
6350.0,127.0,50.0,0.0,68.56281248661618,6350,6350.0,101.83154726028442
6400.0,128.0,50.0,0.0,74.13150123614244,6400,6400.0,102.50602602958679
6450.0,129.0,50.0,0.0,69.54314097995996,6450,6450.0,103.22500538825989
6500.0,130.0,50.0,0.0,69.13200949251816,6500,6500.0,103.94826102256775
6550.0,131.0,50.0,0.0,68.00236061661381,6550,6550.0,104.68353199958801
6600.0,132.0,50.0,0.0,69.43572743965953,6600,6600.0,105.40362358093262
6650.0,133.0,50.0,0.0,75.50230414746544,6650,6650.0,106.06585693359375
6700.0,134.0,50.0,0.0,78.68358434966747,6700,6700.0,106.70131587982178
6750.0,135.0,50.0,0.0,78.04878048780488,6750,6750.0,107.34194254875183
6800.0,136.0,50.0,0.0,69.26473725895339,6800,6800.0,108.06381273269653
6850.0,137.0,50.0,0.0,67.4301335225656,6850,6850.0,108.80532264709473
6900.0,138.0,50.0,0.0,69.97973504395857,6900,6900.0,109.51981711387634
6950.0,139.0,50.0,0.0,71.33500053063679,6950,6950.0,110.22073721885681
7000.0,140.0,50.0,0.0,71.11055652438692,7000,7000.0,110.92386841773987
7050.0,141.0,50.0,0.0,73.10033086220767,7050,7050.0,111.60786175727844
7100.0,142.0,50.0,0.0,74.12594630093447,7100,7100.0,112.282390832901
7150.0,143.0,50.0,0.0,72.16160826484729,7150,7150.0,112.97528076171875
7200.0,144.0,50.0,0.0,71.90557565550365,7200,7200.0,113.6706395149231
7250.0,145.0,50.0,0.0,72.94200713367732,7250,7250.0,114.35611772537231
7300.0,146.0,50.0,0.0,71.27552877545145,7300,7300.0,115.05762219429016
7350.0,147.0,50.0,0.0,64.01723120053677,7350,7350.0,115.83866333961487
7400.0,148.0,50.0,0.0,63.94662657968279,7400,7400.0,116.62056684494019
7450.0,149.0,50.0,0.0,70.39366912405674,7450,7450.0,117.33085989952087
7500.0,150.0,50.0,0.0,77.22692575520949,7500,7500.0,117.97830533981323
7550.0,151.0,50.0,0.0,71.63745127161778,7550,7550.0,118.67626762390137
7600.0,152.0,50.0,0.0,69.93427588256029,7600,7600.0,119.39122700691223
7650.0,153.0,50.0,0.0,77.8967832854608,7650,7650.0,120.03310346603394
7700.0,154.0,50.0,0.0,73.33304426519112,7700,7700.0,120.71492624282837
7750.0,155.0,50.0,0.0,71.97981279054123,7750,7750.0,121.40956711769104
7800.0,156.0,50.0,0.0,66.05484012706052,7800,7800.0,122.1665153503418
7850.0,157.0,50.0,0.0,70.32250103279735,7850,7850.0,122.87752723693848
7900.0,158.0,50.0,0.0,68.78864980980349,7900,7900.0,123.6043930053711
7950.0,159.0,50.0,0.0,74.92365272242174,7950,7950.0,124.27174067497253
8000.0,160.0,50.0,0.0,70.02102147823463,8000,8000.0,124.98581385612488
8050.0,161.0,50.0,0.0,69.80273585590191,8050,8050.0,125.70212078094482
8100.0,162.0,50.0,0.0,69.52672540260085,8100,8100.0,126.42126989364624
8150.0,163.0,50.0,0.0,71.11132812566228,8150,8150.0,127.12439393997192
8200.0,164.0,50.0,0.0,74.39867206044552,8200,8200.0,127.79644989967346
8250.0,165.0,50.0,0.0,69.34430240786176,8250,8250.0,128.51749229431152
8300.0,166.0,50.0,0.0,80.34274019761273,8300,8300.0,129.1398274898529
8350.0,167.0,50.0,0.0,75.69746166582264,8350,8350.0,129.80035305023193
8400.0,168.0,50.0,0.0,75.2882249421827,8400,8400.0,130.4644694328308
8450.0,169.0,50.0,0.0,73.43894888711462,8450,8450.0,131.14530849456787
8500.0,170.0,50.0,0.0,70.502481191456,8500,8500.0,131.8545048236847
8550.0,171.0,50.0,0.0,74.98529543745582,8550,8550.0,132.52130317687988
8600.0,172.0,50.0,0.0,72.4175951296913,8600,8600.0,133.21174454689026
8650.0,173.0,50.0,0.0,68.73492333186499,8650,8650.0,133.93917870521545
8700.0,174.0,50.0,0.0,64.14988143685319,8700,8700.0,134.71860456466675
8750.0,175.0,50.0,0.0,84.41638372254502,8750,8750.0,135.31090807914734
